ordem,municipio_chave,tipo_entidade,url_amaweb,url_accessmonitor,correspondencia,status_amaweb,nota_amaweb,avaliacao_amaweb,tem_cloudflare_amaweb,status_accessmonitor,nota_accessmonitor,avaliacao_accessmonitor,tem_cloudflare_accessmonitor,diferenca_nota_amaweb_menos_accessmonitor,faixa_amaweb,faixa_accessmonitor,titulo_amaweb,titulo_accessmonitor,accessmonitor_run
"1","acorizal","Prefeitura/Órgão Municipal","https://www.acorizal.mt.gov.br/","https://www.acorizal.mt.gov.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"2","camaraacorizal","Prefeitura/Órgão Municipal","https://camaraacorizal.mt.gov.br/","https://camaraacorizal.mt.gov.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"3","","Outro/Consórcio","https://www.consorcioaltotapajos.com.br/#/home","https://www.consorcioaltotapajos.com.br/#/home","URL exata","Concluída","7.1","Sim","Não","Avaliado","","Não","Não","","7-<8","<5","CIS da Região do Alto Tapajós","","17-04-38"
"4","altafloresta","Prefeitura/Órgão Municipal","https://www.altafloresta.mt.gov.br/","https://www.altafloresta.mt.gov.br/","URL exata","Concluída","7.9","Sim","Não","Avaliado","","Não","Não","","7-<8","<5","Página Inicial - Prefeitura Municipal de Alta Floresta","","17-04-38"
"5","altafloresta","Câmara Municipal","https://www.altafloresta.mt.leg.br/","https://www.altafloresta.mt.leg.br/","URL exata","Concluída","7.6","Sim","Não","Avaliado","6.5","Sim","Não","1.10","7-<8","6-<7","Página Inicial — Câmara Municipal","Página Inicial — Câmara Municipal","17-04-38"
"6","altoaraguaia","Prefeitura/Órgão Municipal","https://altoaraguaia.mt.gov.br/","https://altoaraguaia.mt.gov.br/","URL exata","Concluída","6.9","Sim","Não","Avaliado","5.5","Sim","Não","1.40","6-<7","5-<6","Prefeitura Municipal de Alto Araguaia","Prefeitura Municipal de Alto Araguaia","17-04-38"
"7","altoaraguaia","Câmara Municipal","https://www.altoaraguaia.mt.leg.br/","https://www.altoaraguaia.mt.leg.br/","URL exata","Concluída","7.6","Sim","Não","Avaliado","6.9","Sim","Não","0.70","7-<8","6-<7","Notícias — CÂMARA MUNICIPAL DE ALTO ARAGUAIA","Notícias — CÂMARA MUNICIPAL DE ALTO ARAGUAIA","17-04-38"
"8","altoboavista","Prefeitura/Órgão Municipal","https://www.altoboavista.mt.gov.br","https://www.altoboavista.mt.gov.br","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"9","altogarcas","Prefeitura/Órgão Municipal","https://www.altogarcas.mt.gov.br/","https://www.altogarcas.mt.gov.br/","URL exata","Concluída","8.3","Sim","Não","Avaliado","","Não","Não","","8-<9","<5","Página Inicial - Prefeitura de Altos Garças - MT","","17-04-38"
"10","altogarcas","Câmara Municipal","https://www.altogarcas.mt.leg.br/","https://www.altogarcas.mt.leg.br/","URL exata","Concluída","7.6","Sim","Não","Avaliado","7.1","Sim","Não","0.50","7-<8","7-<8","Início - Câmara Municipal de Alto Garças - MT","Início - Câmara Municipal de Alto Garças - MT","17-04-38"
