ordem,url,titulo,nota,status,tentativas,json,pdf,url_chave,host_chave,nota_num,avaliacao_utilizavel,tem_cloudflare,faixa_nota,tipo_entidade,municipio_chave
"1","https://www.acorizal.mt.gov.br/","","","Sem resultado AMAWeb","5","","","acorizal.mt.gov.br","acorizal.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","acorizal"
"2","https://camaraacorizal.mt.gov.br/","","","Sem resultado AMAWeb","5","","","camaraacorizal.mt.gov.br","camaraacorizal.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","camaraacorizal"
"3","https://www.consorcioaltotapajos.com.br/#/home","CIS da Região do Alto Tapajós","7.1","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.consorcioaltotapajos.com.br_003.json","saida_mt/2026-09-20/02-41-56/amaweb_www.consorcioaltotapajos.com.br_003.pdf","consorcioaltotapajos.com.br/#/home","consorcioaltotapajos.com.br","7.1","Sim","Não","7-<8","Outro/Consórcio",""
"4","https://www.altafloresta.mt.gov.br/","Página Inicial - Prefeitura Municipal de Alta Floresta","7.9","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.altafloresta.mt.gov.br_004.json","saida_mt/2026-09-20/02-41-56/amaweb_www.altafloresta.mt.gov.br_004.pdf","altafloresta.mt.gov.br","altafloresta.mt.gov.br","7.9","Sim","Não","7-<8","Prefeitura/Órgão Municipal","altafloresta"
"5","https://www.altafloresta.mt.leg.br/","Página Inicial — Câmara Municipal","7.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.altafloresta.mt.leg.br_005.json","saida_mt/2026-09-20/02-41-56/amaweb_www.altafloresta.mt.leg.br_005.pdf","altafloresta.mt.leg.br","altafloresta.mt.leg.br","7.6","Sim","Não","7-<8","Câmara Municipal","altafloresta"
"6","https://altoaraguaia.mt.gov.br/","Prefeitura Municipal de Alto Araguaia","6.9","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_altoaraguaia.mt.gov.br_006.json","saida_mt/2026-09-20/02-41-56/amaweb_altoaraguaia.mt.gov.br_006.pdf","altoaraguaia.mt.gov.br","altoaraguaia.mt.gov.br","6.9","Sim","Não","6-<7","Prefeitura/Órgão Municipal","altoaraguaia"
"7","https://www.altoaraguaia.mt.leg.br/","Notícias — CÂMARA MUNICIPAL DE ALTO ARAGUAIA","7.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.altoaraguaia.mt.leg.br_007.json","saida_mt/2026-09-20/02-41-56/amaweb_www.altoaraguaia.mt.leg.br_007.pdf","altoaraguaia.mt.leg.br","altoaraguaia.mt.leg.br","7.6","Sim","Não","7-<8","Câmara Municipal","altoaraguaia"
"8","https://www.altoboavista.mt.gov.br","","","Sem resultado AMAWeb","5","","","altoboavista.mt.gov.br","altoboavista.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","altoboavista"
"9","https://www.altogarcas.mt.gov.br/","Página Inicial - Prefeitura de Altos Garças - MT","8.3","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.altogarcas.mt.gov.br_009.json","saida_mt/2026-09-20/02-41-56/amaweb_www.altogarcas.mt.gov.br_009.pdf","altogarcas.mt.gov.br","altogarcas.mt.gov.br","8.3","Sim","Não","8-<9","Prefeitura/Órgão Municipal","altogarcas"
"10","https://www.altogarcas.mt.leg.br/","Início - Câmara Municipal de Alto Garças - MT","7.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.altogarcas.mt.leg.br_010.json","saida_mt/2026-09-20/02-41-56/amaweb_www.altogarcas.mt.leg.br_010.pdf","altogarcas.mt.leg.br","altogarcas.mt.leg.br","7.6","Sim","Não","7-<8","Câmara Municipal","altogarcas"
"11","https://www.altoparaguai.mt.gov.br/","Página Inicial - Prefeitura de Alto Paraguai - MT","7.4","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.altoparaguai.mt.gov.br_011.json","saida_mt/2026-09-20/02-41-56/amaweb_www.altoparaguai.mt.gov.br_011.pdf","altoparaguai.mt.gov.br","altoparaguai.mt.gov.br","7.4","Sim","Não","7-<8","Prefeitura/Órgão Municipal","altoparaguai"
"12","https://www.camaradealtoparaguai.com.br/","","","Sem resultado AMAWeb","5","","","camaradealtoparaguai.com.br","camaradealtoparaguai.com.br","0","Não","Não","<5","Outro/Consórcio",""
"13","https://www.altotaquari.mt.gov.br/","Prefeitura Municipal","9.2","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.altotaquari.mt.gov.br_013.json","saida_mt/2026-09-20/02-41-56/amaweb_www.altotaquari.mt.gov.br_013.pdf","altotaquari.mt.gov.br","altotaquari.mt.gov.br","9.2","Sim","Não","9-10","Prefeitura/Órgão Municipal","altotaquari"
"14","https://www.altotaquari.mt.leg.br/","Camara Municipal de Alto Taquari","6.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.altotaquari.mt.leg.br_014.json","saida_mt/2026-09-20/02-41-56/amaweb_www.altotaquari.mt.leg.br_014.pdf","altotaquari.mt.leg.br","altotaquari.mt.leg.br","6","Sim","Não","6-<7","Câmara Municipal","altotaquari"
"15","https://www.apiacas.mt.gov.br/","Página Inicial - Prefeitura de Apiacás Apiacás - MT","8.1","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.apiacas.mt.gov.br_015.json","saida_mt/2026-09-20/02-41-56/amaweb_www.apiacas.mt.gov.br_015.pdf","apiacas.mt.gov.br","apiacas.mt.gov.br","8.1","Sim","Não","8-<9","Prefeitura/Órgão Municipal","apiacas"
"16","https://www.camaraapiacas.mt.gov.br/","Página Inicial - Câmara Apiacás","7.1","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.camaraapiacas.mt.gov.br_016.json","saida_mt/2026-09-20/02-41-56/amaweb_www.camaraapiacas.mt.gov.br_016.pdf","camaraapiacas.mt.gov.br","camaraapiacas.mt.gov.br","7.1","Sim","Não","7-<8","Prefeitura/Órgão Municipal","camaraapiacas"
"17","https://www.araguaiana.mt.gov.br/","","","Sem resultado AMAWeb","5","","","araguaiana.mt.gov.br","araguaiana.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","araguaiana"
"18","https://araguaiana.mt.leg.br/","","","Sem resultado AMAWeb","5","","","araguaiana.mt.leg.br","araguaiana.mt.leg.br","0","Não","Não","<5","Câmara Municipal","araguaiana"
"19","https://araguainha.mt.gov.br/","Prefeitura Municipal de Araguainha – Prefeitura Municipal de Araguainha","8.7","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_araguainha.mt.gov.br_019.json","saida_mt/2026-09-20/02-41-56/amaweb_araguainha.mt.gov.br_019.pdf","araguainha.mt.gov.br","araguainha.mt.gov.br","8.7","Sim","Não","8-<9","Prefeitura/Órgão Municipal","araguainha"
"20","https://araguainha.mt.leg.br/","","","Sem resultado AMAWeb","5","","","araguainha.mt.leg.br","araguainha.mt.leg.br","0","Não","Não","<5","Câmara Municipal","araguainha"
"21","https://araputanga.mt.gov.br/","Prefeitura Municipal de Araputanga","7.3","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_araputanga.mt.gov.br_021.json","saida_mt/2026-09-20/02-41-56/amaweb_araputanga.mt.gov.br_021.pdf","araputanga.mt.gov.br","araputanga.mt.gov.br","7.3","Sim","Não","7-<8","Prefeitura/Órgão Municipal","araputanga"
"22","https://araputanga.mt.leg.br/","Câmara Municipal de Araputanga","7.7","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_araputanga.mt.leg.br_022.json","saida_mt/2026-09-20/02-41-56/amaweb_araputanga.mt.leg.br_022.pdf","araputanga.mt.leg.br","araputanga.mt.leg.br","7.7","Sim","Não","7-<8","Câmara Municipal","araputanga"
"23","https://www.arenapolis.mt.gov.br/","Prefeitura Municipal de Arenápolis","6.3","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.arenapolis.mt.gov.br_023.json","saida_mt/2026-09-20/02-41-56/amaweb_www.arenapolis.mt.gov.br_023.pdf","arenapolis.mt.gov.br","arenapolis.mt.gov.br","6.3","Sim","Não","6-<7","Prefeitura/Órgão Municipal","arenapolis"
"24","https://arenapolis.mt.leg.br/","Access denied | arenapolis.mt.leg.br used Cloudflare to restrict access | arenapolis.mt.leg.br | Cloudflare","9.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_arenapolis.mt.leg.br_024.json","saida_mt/2026-09-20/02-41-56/amaweb_arenapolis.mt.leg.br_024.pdf","arenapolis.mt.leg.br","arenapolis.mt.leg.br","9.6","Não","Sim","9-10","Câmara Municipal","arenapolis"
"25","https://www.aripuana.mt.gov.br/#/home","Prefeitura Municipal de Aripuanã","5.7","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.aripuana.mt.gov.br_025.json","saida_mt/2026-09-20/02-41-56/amaweb_www.aripuana.mt.gov.br_025.pdf","aripuana.mt.gov.br/#/home","aripuana.mt.gov.br","5.7","Sim","Não","5-<6","Prefeitura/Órgão Municipal","aripuana"
"26","https://camaraaripuanamt.com.br/index.php","","","Sem resultado AMAWeb","5","","","camaraaripuanamt.com.br/index.php","camaraaripuanamt.com.br","0","Não","Não","<5","Outro/Consórcio",""
"27","https://www.barradobugres.mt.gov.br/","Prefeitura Municipal de Barra do Bugres | Gestão 2025-2028 – Site oficial da Prefeitura Municipal de Barra do Bugres","7.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.barradobugres.mt.gov.br_027.json","saida_mt/2026-09-20/02-41-56/amaweb_www.barradobugres.mt.gov.br_027.pdf","barradobugres.mt.gov.br","barradobugres.mt.gov.br","7.6","Sim","Não","7-<8","Prefeitura/Órgão Municipal","barradobugres"
"28","https://barradobugres.mt.leg.br","Câmara Municipal de Barra do Bugres","6.7","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_barradobugres.mt.leg.br_028.json","saida_mt/2026-09-20/02-41-56/amaweb_barradobugres.mt.leg.br_028.pdf","barradobugres.mt.leg.br","barradobugres.mt.leg.br","6.7","Sim","Não","6-<7","Câmara Municipal","barradobugres"
"29","https://www.cisrga.com.br/#/home","Cisrga","7.3","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.cisrga.com.br_029.json","saida_mt/2026-09-20/02-41-56/amaweb_www.cisrga.com.br_029.pdf","cisrga.com.br/#/home","cisrga.com.br","7.3","Sim","Não","7-<8","Outro/Consórcio",""
"30","https://www.barradogarcas.mt.gov.br/","Página Inicial - Prefeitura Municipal de Barra do Garças","7.5","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.barradogarcas.mt.gov.br_030.json","saida_mt/2026-09-20/02-41-56/amaweb_www.barradogarcas.mt.gov.br_030.pdf","barradogarcas.mt.gov.br","barradogarcas.mt.gov.br","7.5","Sim","Não","7-<8","Prefeitura/Órgão Municipal","barradogarcas"
