ordem,municipio,portal_oficial,url_informada,url_final_ou_tentada,titulo,status,caminho,evidencia,data_verificacao
"1","Acorizal","https://www.acorizal.mt.gov.br/","https://www.acorizal.mt.gov.br/","https://gws-sistemas.com.br/ouvidoria.pm.acorizal/novo-protocolo","Novo Protocolo","FORMULARIO_FINAL_CONFIRMADO","Portal → Ouvidoria Municipal (GWS) → Acesse aqui → Novo Protocolo","Departamento Ouvidoria (anônima ou identificada), assunto e mensagem; botão Enviar. Cadastro prévio por e-mail/nome/senha.","2026-09-21"
"2","Alta Floresta","https://www.altafloresta.mt.gov.br/","https://cidadeonline.altafloresta.mt.gov.br/","https://www.gp.srv.br/adm_altafloresta/ouvidoria/#/home",":: COPLAN - Solucoes em gestão pública ::","ERRO_HTTP_504","Alta Floresta Online → link de Ouvidoria (GP.SRV) → erro 504","O navegador abriu erro 504 no destino GP.SRV, sem formulário utilizável.","2026-09-21"
"3","Alto Araguaia","https://altoaraguaia.mt.gov.br/","https://altoaraguaia.mt.gov.br/contato","https://www.gp.srv.br/ouvidoria/altoaraguaia/#/portal/1/manifestacao","Portal Ouvidoria | PREFEITURA MUNICIPAL DE ALTO ARAGUAIA","FORMULARIO_FINAL_CONFIRMADO","Contato/Ouvidoria → Nova manifestação","Tipos de manifestação, identificação do manifestante e campo de descrição.","2026-09-21"
"4","Alto Boa Vista","https://www.altoboavista.mt.gov.br","https://gws-sistemas.com.br/cartadeservico.pm.altoboavista/geral-2/servico-de-informacao-ao-cidadao-sic","https://ouvidoria.pm.altoboavista.gws-sistemas.com.br/","ouvidoria.pm.altoboavista.gws-sistemas.com.br","ERRO_DNS","Carta de Serviço/SIC → Ouvidoria → erro DNS","Link Ouvidoria visível na carta de serviços; navegador retornou net::ERR_NAME_NOT_RESOLVED.","2026-09-21"
"5","Alto Garças","https://www.altogarcas.mt.gov.br/","https://ouvidoria.altogarcas.mt.gov.br/","https://ouvidoria.altogarcas.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Alto Garças","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar → Manifestação","Página Cadastre sua Manifestação; contato identificado/anônimo, tipos de manifestação, dados do solicitante, texto e botão Enviar; reCAPTCHA presente.","2026-09-21"
"6","Alto Paraguai","https://www.altoparaguai.mt.gov.br/","https://www.altoparaguai.mt.gov.br/","https://ouvidoria.altoparaguai.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Alto Paraguai - MT","FORMULARIO_FINAL_CONFIRMADO","Portal → Ouvidoria → Acessar → Manifestação","Página Cadastre sua Manifestação; contato identificado/anônimo, tipos, dados do solicitante, texto e botão Enviar; reCAPTCHA presente.","2026-09-21"
"7","Alto Taquari","https://www.altotaquari.mt.gov.br/","https://www.altotaquari.mt.gov.br/portal/ouvidoria","https://www.gp.srv.br/ouvidoria/altotaquari/#/portal/1/manifestacao","Portal Ouvidoria | PREFEITURA MUNICIPAL DE ALTO TAQUARI","FORMULARIO_FINAL_CONFIRMADO","Página Ouvidoria → GP.SRV → Registre sua Manifestação","Página Manifestações com assunto/tipo, dados do solicitante, descrição, confirmação com reCAPTCHA.","2026-09-21"
"8","Apiacás","https://www.apiacas.mt.gov.br/","https://ouvidoria.apiacas.mt.gov.br/","https://ouvidoria.apiacas.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura Municipal de Apiacás","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar → Manifestação","Página Cadastre sua Manifestação; contato identificado/anônimo, tipos, dados do solicitante, texto e botão Enviar; reCAPTCHA presente.","2026-09-21"
"9","Araguaiana","https://www.araguaiana.mt.gov.br/","https://araguaiana.mt.gov.br/","https://araguaiana.mt.gov.br/ouvidoria-identificada","Ouvidoria Identificada","FORMULARIO_FINAL_CONFIRMADO","Portal → Ouvidoria → Ouvidoria Identificada","Formulário de Ouvidoria Identificada com nome/CPF/contato/descrição, assunto, tipos e botão Enviar.","2026-09-21"
"10","Araguainha","https://araguainha.mt.gov.br/","https://araguainha.mt.gov.br/","https://falabr.cgu.gov.br/v2/manifestacoes/registrar","Fala.BR - Plataforma Integrada de Ouvidoria e Acesso à Informação","FORMULARIO_FINAL_CONFIRMADO","Portal → Fala.BR (Ouvidoria) → Registrar Manifestação","Link oficial abre Fala.BR; após clicar em cartão de registro para cidadãos, chega à página Registrar Manifestação com campo de relato. Requer autenticação Gov.br (denúncia anônima é exceção); não enviado.","2026-09-21"
